url_path,views_total,views_unique
/EarthSciML/WildlandFire.jl,10,3
/EarthSciML/WildlandFire.jl/actions/runs/20961896325,6,1
/EarthSciML/WildlandFire.jl/actions,4,1
/EarthSciML/WildlandFire.jl/actions/runs/20962100497,3,1
/EarthSciML/WildlandFire.jl/blob/main/examples/wind_factor_diagnostic.jl,2,2
/EarthSciML/WildlandFire.jl/tree/main/examples,2,2
/EarthSciML/WildlandFire.jl/tree/main/src,2,2
/EarthSciML/WildlandFire.jl/actions/runs/20961896325/job/60241152275,2,1
/EarthSciML/WildlandFire.jl/actions/runs/20961896334,2,1
/EarthSciML/WildlandFire.jl/actions/runs/20962100497/job/60241972625,2,1
