url_path,views_total,views_unique
/EarthSciML/WildlandFire.jl,19,6
/EarthSciML/WildlandFire.jl/actions/runs/21268594560,8,1
/EarthSciML/WildlandFire.jl/pull/8,7,2
/EarthSciML/WildlandFire.jl/pulls,6,2
/EarthSciML/WildlandFire.jl/tree/main/src,5,3
/EarthSciML/WildlandFire.jl/tree/main/examples,3,3
/EarthSciML/WildlandFire.jl/blob/main/src/rothermel_basic.jl,3,2
/EarthSciML/WildlandFire.jl/blob/main/src/rothermel_heterogeneous.jl,3,2
/EarthSciML/WildlandFire.jl/actions/runs/21268594560/job/61216057438,3,1
/EarthSciML/WildlandFire.jl/actions/runs/21268594560/job/61216923611,3,1
