url_path,views_total,views_unique
/EarthSciML/WildlandFire.jl/pull/58,10,1
/EarthSciML/WildlandFire.jl/pulls,8,1
/EarthSciML/WildlandFire.jl,5,3
/EarthSciML/WildlandFire.jl/pull/59,4,1
/EarthSciML/WildlandFire.jl/actions/runs/23992547969/job/69974835272,3,1
/EarthSciML/WildlandFire.jl/actions/runs/23992547971/job/69974651366,3,1
/EarthSciML/WildlandFire.jl/issues,3,1
/EarthSciML/WildlandFire.jl/blob/main/Project.toml,2,1
/EarthSciML/WildlandFire.jl/commit/126976f2508ceacca6c486b21ae6da5b168c6f46,2,1
/EarthSciML/WildlandFire.jl/actions/runs/23989901563,1,1
